date,title,company,details,link,ativo
2025-10-20,Business Analyst (French Speaker),Dellent,Porto Full-time,https://www.itjobs.pt/oferta/504945/business-analyst-french-speaker,0
2025-10-22,Data Analyst,Growin - Know to grow,Internacional,https://www.itjobs.pt/oferta/506156/data-analyst,0
2025-10-22,Business Analyst (FBTI),KWAN,Lisboa Full-time,https://www.itjobs.pt/oferta/505976/business-analyst-fbti,0
2025-10-23,Data Engineer Microsoft,Mind Source,Lisboa Full-time,https://www.itjobs.pt/oferta/506228/data-engineer-microsoft,0
2025-10-24,Functional Analyst,KWAN,Lisboa Full-time,https://www.itjobs.pt/oferta/506140/functional-analyst,0
2025-10-27,Business Analyst,Devoteam,Lisboa Full-time,https://www.itjobs.pt/oferta/506317/business-analyst,0
2025-10-27,Data Analyst,Devoteam,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/506315/data-analyst,0
2025-10-28,Business Analyst with Murex,KWAN,Porto Full-time,https://www.itjobs.pt/oferta/506302/business-analyst-with-murex,0
2025-10-28,ERP Finance Analyst,QiBit Portugal,Porto Full-time,https://www.itjobs.pt/oferta/506373/erp-finance-analyst,0
2025-10-29,Data Analyst,Growin - Know to grow,"Braga, Lisboa, Setúbal, Porto Full-time",https://www.itjobs.pt/oferta/506418/data-analyst,0
2025-10-29,Junior Business Analyst,We Are Meta,Lisboa Full-time,https://www.itjobs.pt/oferta/505533/junior-business-analyst,0
2025-10-29,Data analyst,KCS IT,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/506405/data-analyst,0
2025-10-30,Network Analyst,KWAN,Lisboa,https://www.itjobs.pt/oferta/506380/network-analyst,0
2025-10-31,Functional Analyst,KWAN,"Lisboa, Porto",https://www.itjobs.pt/oferta/506465/functional-analyst,0
2025-10-31,Data Analyst,Integer Consulting,Lisboa Full-time,https://www.itjobs.pt/oferta/506489/data-analyst,0
2025-10-31,Data Analyst – Power BI Specialist,GRiT Solutions,"Lisboa, Porto Full-time Remoto",https://www.itjobs.pt/oferta/506535/data-analyst-power-bi-specialist,0
2025-11-03,IT Business Analyst,Fyld,Lisboa Full-time,https://www.itjobs.pt/oferta/506571/it-business-analyst,0
